feature,importance
popularity_log,0.5239701256566681
popularity,0.2575104078683092
finance,0.0690149806081868
finance_log,0.0670299528518783
week_recommend,0.06338816560607734
gold_content,0.006704244653091255
interaction_log,0.004604468157183285
interaction,0.004369108750107521
fans_count,0.0014151048690851935
abstract_length,0.0005538560176215439
interaction_rate,0.0005021868758157858
weekly_intensity,0.00023783709109215562
word_count,0.00013358435097709793
word_count_log,0.00012734628769536753
title_length,0.0001128125458088439
fans_activity,0.00010762122457660841
has_abstract,5.671583326343032e-05
cat_异术超能,3.459187484419693e-05
cat_都市,2.046041915627319e-05
cat_异世大陆,1.7299337222137423e-05
plat_zongheng,1.394068010684078e-05
cat_其他,1.33341814921551e-05
cat_原生幻想,1.1476060202624202e-05
cat_玄幻奇幻,9.912216680301722e-06
cat_历史,9.082830764094469e-06
cat_武侠仙侠,7.004852926353091e-06
cat_时空穿梭,6.262216546729816e-06
cat_东方玄幻,6.170675292949474e-06
cat_科幻,5.128784757304895e-06
cat_都市生活,2.8421635832439034e-06
cat_幻想修仙,2.117477376698582e-06
cat_修真文明,7.405943306845116e-07
cat_衍生同人,5.458605487535984e-07
plat_qidian,3.66844485302721e-07
is_sign,1.481600156589635e-07
cat_古典仙侠,5.55222299522323e-08
status,0.0
